,title,location,posted_on,institute,keyword,comb,exist
63,Professur (W2): Wirtschaftsmathematik/-statistik und Künstliche Intelligenz,Merseburg,28.07.2025,Hochschule Merseburg,Brain-InspiredAI_Architectures,28.07.2025|Merseburg,False
64,W2-Professur Künstliche Intelligenz und Angewandte Mathematik,Hannover,17.07.2025,Hochschule Hannover University of Applied Sciences and Arts,Brain-InspiredAI_Architectures,17.07.2025|Hannover,False
65,Studentische Aushilfe (d/m/w) Schwerpunkt KI-Kompetenz für Wirtschafts- und Politikberatung,Berlin,04.08.2025,Prognos AG,Brain-InspiredAI_Architectures,04.08.2025|Berlin,False
66,W2 Professorship (W3 tenure track position) in Computer Science - AI for People and Society,Saarbrücken,10.07.2025,Universität des Saarlandes,Brain-InspiredAI_Architectures,10.07.2025|Saarbrücken,False
67,"Professor in ""AI in Food Systems Biology""",München,10.07.2025,Technische Universität München (TUM),Brain-InspiredAI_Architectures,10.07.2025|München,False
68,tenure track position for AI-based and molecular personalized prostate cancer research,Innsbruck,17.07.2025,Medizinische Universität Innsbruck,Brain-InspiredAI_Architectures,17.07.2025|Innsbruck,False
69,W2-Professur für „Experimentalphysik mit Schwerpunkt in KI-basierter Erforschung biomolekularer Strukturen“,Erlangen,10.07.2025,Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),Brain-InspiredAI_Architectures,10.07.2025|Erlangen,False
71,"Professur für ""Intelligente autonome Sensor- und Aktorsysteme""",Dortmund,05.08.2025,Fachhochschule Dortmund,Brain-InspiredAI_Architectures,05.08.2025|Dortmund,False
72,Wissenschaftlicher Mitarbeiter (m/w/d) für das Robotics Institute Germany (RIG),München,21.07.2025,Technische Universität München (TUM),Brain-InspiredAI_Architectures,21.07.2025|München,False
75,Referent*in für Early Career Research und Internationalisierung der Forschung (m/w/d),Bielefeld,29.07.2025,Hochschule Bielefeld,NeuroprostheticsResearch,29.07.2025|Bielefeld,False
76,Postdoctoral Researcher (m/f/d) - Quantum Physics,Rostock,22.07.2025,"Universität Rostock - Institut für Physik, IRTG 2676",NeuroprostheticsResearch,22.07.2025|Rostock,False
77,"ReSpace! One postdoctoral and several doctoral positions (m/f/d) at the interdisciplinary research group “ReSpace! Connected Response-able Spaces and Infrastructures for Sustainable Living” (3-year fixed-term, fulltime-position)",Braunschweig,23.07.2025,Technische Universität Braunschweig,NeuroprostheticsResearch,23.07.2025|Braunschweig,False
79,"Two PhD positions (m/f/d) in Urban Design / Participatory Planning at the Collaborative Research Center (CRC, SFB/TRR 408) ""AgiMo: Data-driven agile planning for responsible mobility""",Braunschweig,23.07.2025,Technische Universität Braunschweig,NeuroprostheticsResearch,23.07.2025|Braunschweig,False
80,"Research Assistant Position (f/m/d)  (Ref. 25/13)  in the Research Group  ""Numerical Mathematics and Scientific Computing""",Berlin,25.07.2025,Weierstrass Institute for Applied Analysis and Stochastics (WIAS),NeuroprostheticsResearch,25.07.2025|Berlin,False
82,"Research Assistant Position (f/m/d) in the Research Group ""Numerical Mathematics and Scientific Computing"" (Ref. 25/10)",Berlin,17.07.2025,Weierstrass Institute for Applied Analysis and Stochastics (WIAS),NeuroprostheticsResearch,17.07.2025|Berlin,False
83,Research Assistant Position (f/m/d),Berlin,05.08.2025,Forschungsverbund Berlin e.V. (FVB),NeuroprostheticsResearch,05.08.2025|Berlin,False
84,"PhD Student Position (f/m/d) in the Leibniz Junior Research Group ""Probabilistic Methods for Dynamic Communication Networks""",Berlin,18.07.2025,Weierstrass Institute for Applied Analysis and Stochastics (WIAS),NeuroprostheticsResearch,18.07.2025|Berlin,False
85,Distinguished Researcher in Classical Studies and Director at the Austrian Archaeological Institute (f/m/x),Wien (Österreich),30.07.2025,Österreichische Akademie der Wissenschaften,NeuroprostheticsResearch,30.07.2025|Wien (Österreich),False
86,ifo Postdoctoral Researcher / Economist (f/m/d) for the ifo Center for the Economics of Education,München,18.07.2025,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,NeuroprostheticsResearch,18.07.2025|München,False
88,Junior Professor / Researcher (RTD Junior) in Digital Design / Communication and Interaction Design,Bozen (Italien),17.07.2025,Freie Universität Bozen,NeuroprostheticsResearch,17.07.2025|Bozen (Italien),False
89,Junior Professor / Researcher (RTD Junior) in Product Design (in its expanded interpretation) / Digital & Materials,Bozen (Italien),17.07.2025,Freie Universität Bozen,NeuroprostheticsResearch,17.07.2025|Bozen (Italien),False
90,Researcher (f/m/d) in DNA-Based Information Processing Systems,Karlsruhe,01.08.2025,Karlsruher Institut für Technologie (KIT),NeuroprostheticsResearch,01.08.2025|Karlsruhe,False
91,Junior Professor / Researcher (RTD Junior) in Art - Emerging Art Practices,Bozen (Italien),17.07.2025,Freie Universität Bozen,NeuroprostheticsResearch,17.07.2025|Bozen (Italien),False
92,Universitätsprofessur für Datengestützte Materialforschung/Data Driven Material Research,Berlin,10.07.2025,Freie Universität Berlin,NeuroprostheticsResearch,10.07.2025|Berlin,False
93,Juniorprofessur (W1) mit Tenure-Track W3 „Kommunikatorforschung« (Communicator Research)“,Ilmenau,24.07.2025,Technische Universität Ilmenau,NeuroprostheticsResearch,24.07.2025|Ilmenau,False
95,Tenure-Track Professorship in Operations Research,Wien,01.08.2025,Universität Wien,NeuroprostheticsResearch,01.08.2025|Wien,False
96,Tenure-Track Professorship in Natural Product Research,Wien,01.08.2025,Universität Wien,NeuroprostheticsResearch,01.08.2025|Wien,False
97,Full Professor of Psychotherapy and Psychotherapy Research,Vienna,01.08.2025,Universität Wien,NeuroprostheticsResearch,01.08.2025|Vienna,False
98,"PhD candidates (m/f/d) in the research areas of growth, analysis and electronic / optoelectronic device implementation of scalable 2D materials",Duisburg,18.07.2025,Universität Duisburg-Essen,NeuroprostheticsResearch,18.07.2025|Duisburg,False
99,"PhD student position (f/m/d) within the DFG-funded research project ""Secondary ice production mechanisms: rime splintering and droplet shattering on freezing""",Eggenstein-Leopoldshafen,25.07.2025,Karlsruher Institut für Technologie (KIT),NeuroprostheticsResearch,25.07.2025|Eggenstein-Leopoldshafen,False
100,"PhD Student / Research Assistant (f/m/d) on ""Shallow Geothermal Energy""",Karlsruhe,04.08.2025,Karlsruher Institut für Technologie (KIT),NeuroprostheticsResearch,04.08.2025|Karlsruhe,False
101,tenure track position for Clinical research in pneumology,Innsbruck,17.07.2025,Medizinische Universität Innsbruck,NeuroprostheticsResearch,17.07.2025|Innsbruck,False
103,"Scientific Positions for the DFG-funded Research Unit FOR5903 ""Sustainable Rurbanity - Resources, Society, and Regulatory Systems""","Kassel, Göttingen und weitere Standorte",11.07.2025,Universität Kassel,NeuroprostheticsResearch,"11.07.2025|Kassel, Göttingen und weitere Standorte",False
104,Praktikant (m/w/d) im Bereich Medical Research,Köln,01.08.2025,BetterDoc GmbH,NeuroprostheticsResearch,01.08.2025|Köln,False
105,"Referatsleiterin / Referatsleiter (w/m/d), Referat Außeruniversitäre Forschung",Potsdam,27.07.2025,Ministerium für Wissenschaft Forschung und Kultur des Landes Brandenburg,NeuroprostheticsResearch,27.07.2025|Potsdam,False
